
  LLM     => MS=733.00 , TWT=163.00  , IdleAvg=348.60, WaitAvg=135.44, T=0.357s
  Random  => MS=805.00 , TWT=0.00    , IdleAvg=433.60, WaitAvg=127.78, T=0.359s
  EDD     => MS=860.00 , TWT=0.00    , IdleAvg=478.50, WaitAvg=118.56, T=0.361s
  MST     => MS=860.00 , TWT=0.00    , IdleAvg=478.50, WaitAvg=118.56, T=0.359s
  GPISRule1 => MS=805.00 , TWT=0.00    , IdleAvg=434.50, WaitAvg=124.33, T=0.361s
  GPISRule2 => MS=785.00 , TWT=96.00   , IdleAvg=404.40, WaitAvg=126.67, T=0.358s
  GPISRule3 => MS=860.00 , TWT=0.00    , IdleAvg=478.50, WaitAvg=118.56, T=0.357s
  GPISRule4 => MS=860.00 , TWT=0.00    , IdleAvg=478.50, WaitAvg=118.56, T=0.358s
  GPISRule5 => MS=751.00 , TWT=207.00  , IdleAvg=384.50, WaitAvg=133.56, T=0.359s

=== INSTANCE: test_small_flex_events_4_util0.95_ec0.08_nm6_v0.json (Machines: 6, Total Jobs Defined: 10) ===
  SPT     => MS=968.00 , TWT=440.00  , IdleAvg=342.67, WaitAvg=237.67, T=0.217s
  LPT     => MS=1007.00, TWT=994.00  , IdleAvg=302.83, WaitAvg=274.89, T=0.215s
  FIFO    => MS=968.00 , TWT=1364.00 , IdleAvg=372.67, WaitAvg=217.78, T=0.217s
  LIFO    => MS=942.00 , TWT=1564.00 , IdleAvg=315.50, WaitAvg=212.78, T=0.217s
  SRPT    => MS=1169.00, TWT=658.00  , IdleAvg=559.00, WaitAvg=209.22, T=0.217s
  OPR     => MS=1169.00, TWT=802.00  , IdleAvg=564.50, WaitAvg=196.44, T=0.217s
  ECT     => MS=968.00 , TWT=824.00  , IdleAvg=367.83, WaitAvg=175.44, T=0.217s
  LLM     => MS=968.00 , TWT=1364.00 , IdleAvg=372.67, WaitAvg=217.78, T=0.216s
  Random  => MS=968.00 , TWT=674.00  , IdleAvg=341.67, WaitAvg=227.33, T=0.217s
  EDD     => MS=1018.00, TWT=152.00  , IdleAvg=395.67, WaitAvg=218.89, T=0.217s
  MST     => MS=1018.00, TWT=152.00  , IdleAvg=395.67, WaitAvg=218.89, T=0.217s
